"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","total_tweets (TAGS)","twitter_score (TAGS)","total_twitter_users (TAGS)","FREETAGS (TAGS)","uncrawlable (TAGS)","createdBy (TECHNICAL INFO)","mergedWebEntities (TECHNICAL INFO)"
"1","Bfmtv.com","IN","http://bfmtv.com http://www.bfmtv.com https://bfmtv.com https://www.bfmtv.com","s:https|h:com|h:bfmtv| s:https|h:com|h:bfmtv|h:www| s:http|h:com|h:bfmtv| s:http|h:com|h:bfmtv|h:www|","https://bfmtv.com","https://bfmtv.com","true","FINISHED","FINISHED","443","2454","2800","10695","5606","1689961643780","2023-07-21T17:47:23.780Z","1689963859970","2023-07-21T18:24:19.970Z","5945699","48,17535702","1618941","","","user via lru",""
"2","Lemonde.fr","IN","http://lemonde.fr http://www.lemonde.fr https://lemonde.fr https://www.lemonde.fr","s:https|h:fr|h:lemonde| s:https|h:fr|h:lemonde|h:www| s:http|h:fr|h:lemonde| s:http|h:fr|h:lemonde|h:www|","https://lemonde.fr","https://lemonde.fr","true","FINISHED","FINISHED","456","2024","2416","19417","7289","1689961644152","2023-07-21T17:47:24.152Z","1689963859846","2023-07-21T18:24:19.846Z","3988657","33,94791302","1157263","","","user via lru",""
"3","Leparisien.fr","IN","http://leparisien.fr http://www.leparisien.fr https://leparisien.fr https://www.leparisien.fr","s:https|h:fr|h:leparisien| s:https|h:fr|h:leparisien|h:www| s:http|h:fr|h:leparisien| s:http|h:fr|h:leparisien|h:www|","https://leparisien.fr","https://leparisien.fr","true","FINISHED","FINISHED","421","1375","1738","19728","11669","1689961644307","2023-07-21T17:47:24.307Z","1689963859754","2023-07-21T18:24:19.754Z","3638057","33,92612425","1236875","","","user via lru",""
"4","Francetvinfo.fr","IN","http://franceinfo.fr http://francetvinfo.fr http://radiofrance.fr/franceinfo http://www.franceinfo.fr http://www.francetvinfo.fr http://www.radiofrance.fr/franceinfo https://franceinfo.fr https://francetvinfo.fr https://radiofrance.fr/franceinfo https://www.francetvinfo.fr https://www.radiofrance.fr/franceinfo","s:https|h:fr|h:franceinfo| s:https|h:fr|h:francetvinfo| s:https|h:fr|h:francetvinfo|h:www| s:https|h:fr|h:radiofrance|h:www|p:franceinfo| s:https|h:fr|h:radiofrance|p:franceinfo| s:http|h:fr|h:franceinfo| s:http|h:fr|h:franceinfo|h:www| s:http|h:fr|h:francetvinfo| s:http|h:fr|h:francetvinfo|h:www| s:http|h:fr|h:radiofrance|h:www|p:franceinfo| s:http|h:fr|h:radiofrance|p:franceinfo|","https://francetvinfo.fr","https://franceinfo.fr https://franceinfo.fr https://francetvinfo.fr https://www.radiofrance.fr/franceinfo","true","FINISHED","FINISHED","451","1329","1706","22366","14544","1689961644481","2023-07-21T17:47:24.481Z","1693240653849","2023-08-28T16:37:33.849Z","3853218|5814","0,09541089983|33,04844654","1150487|4642","","","user via lru","249132: Radiofrance.fr /franceinfo (IN)|486: Franceinfo.fr (IN)"
"5","Lefigaro.fr","IN","http://lefigaro.fr http://www.lefigaro.fr https://lefigaro.fr https://www.lefigaro.fr","s:https|h:fr|h:lefigaro| s:https|h:fr|h:lefigaro|h:www| s:http|h:fr|h:lefigaro| s:http|h:fr|h:lefigaro|h:www|","https://lefigaro.fr","https://lefigaro.fr","true","FINISHED","FINISHED","424","3935","4286","27186","16645","1689961644678","2023-07-21T17:47:24.678Z","1689963859614","2023-07-21T18:24:19.614Z","3607185","27,84091109","901585","","","user via lru",""
"6","Liberation.fr","IN","http://liberation.fr http://www.liberation.fr https://liberation.fr https://www.liberation.fr","s:https|h:fr|h:liberation| s:https|h:fr|h:liberation|h:www| s:http|h:fr|h:liberation| s:http|h:fr|h:liberation|h:www|","https://liberation.fr","https://liberation.fr","true","FINISHED","FINISHED","329","925","1203","45338","40689","1689961644860","2023-07-21T17:47:24.860Z","1689963859490","2023-07-21T18:24:19.490Z","2288334","21,73751131","800170","","","user via lru",""
"7","Fdesouche.com","IN","http://fdesouche.com http://www.fdesouche.com https://fdesouche.com https://www.fdesouche.com","s:https|h:com|h:fdesouche| s:https|h:com|h:fdesouche|h:www| s:http|h:com|h:fdesouche| s:http|h:com|h:fdesouche|h:www|","https://fdesouche.com","https://fdesouche.com","true","FINISHED","FINISHED","42","764","802","1681","596","1689961645074","2023-07-21T17:47:25.074Z","1689963859436","2023-07-21T18:24:19.436Z","4387823","20,24840727","343242","","","user via lru",""
"8","Mediapart.fr","IN","http://mediapart.fr http://www.mediapart.fr https://mediapart.fr https://www.mediapart.fr","s:https|h:fr|h:mediapart| s:https|h:fr|h:mediapart|h:www| s:http|h:fr|h:mediapart| s:http|h:fr|h:mediapart|h:www|","https://mediapart.fr","https://mediapart.fr","true","FINISHED","FINISHED","273","1491","1686","6585","3202","1689961645252","2023-07-21T17:47:25.252Z","1689963859341","2023-07-21T18:24:19.341Z","2182076","18,63899338","642072","","","user via lru",""
"9","Ouest-France.fr","IN","http://footamateur.fr http://ouest-france.fr http://www.ouest-france.fr https://footamateur.fr https://ouest-france.fr https://www.footamateur.fr https://www.ouest-france.fr","s:https|h:fr|h:footamateur| s:https|h:fr|h:footamateur|h:www| s:https|h:fr|h:ouest-france| s:https|h:fr|h:ouest-france|h:www| s:http|h:fr|h:footamateur| s:http|h:fr|h:ouest-france| s:http|h:fr|h:ouest-france|h:www|","https://ouest-france.fr","https://footamateur.fr https://footamateur.fr https://footamateur.ouest-france.fr https://www.ouest-france.fr/","true","FINISHED","FINISHED","368","1636","1923","14863","10973","1689961645420","2023-07-21T17:47:25.420Z","1693239105447","2023-08-28T16:11:45.447Z","4546|917809","0,04795308271|9,040666183","1858|336020","","","user via lru","248691: footamateur.Ouest-France.fr (IN)|760: Footamateur.fr (IN)"
"10","Lepoint.fr","IN","http://lepoint.fr http://www.lepoint.fr https://lepoint.fr https://www.lepoint.fr","s:https|h:fr|h:lepoint| s:https|h:fr|h:lepoint|h:www| s:http|h:fr|h:lepoint| s:http|h:fr|h:lepoint|h:www|","https://lepoint.fr","https://lepoint.fr","true","FINISHED","FINISHED","299","706","977","5962","2598","1689961645619","2023-07-21T17:47:25.619Z","1689963859185","2023-07-21T18:24:19.185Z","783773","8,767427761","347390","","","user via lru",""
